Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
179130,Air_India,AI-543,Hyderabad,Morning,one,Morning,Chennai,Economy,21.58,34,4649.0
179131,Indigo,6E-6591,Hyderabad,Afternoon,one,Night,Chennai,Economy,7.25,34,5024.0
179132,Indigo,6E-743,Hyderabad,Early_Morning,two_or_more,Night,Chennai,Economy,15.42,34,5129.0
179133,Indigo,6E-793,Hyderabad,Evening,one,Night,Chennai,Economy,5.58,34,5535.0
179134,Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Chennai,Economy,7.0,34,6287.0
179135,Vistara,UK-878,Hyderabad,Afternoon,one,Night,Chennai,Economy,10.17,34,6287.0
179136,Vistara,UK-876,Hyderabad,Night,one,Morning,Chennai,Economy,11.25,34,6287.0
179137,Vistara,UK-874,Hyderabad,Morning,one,Evening,Chennai,Economy,11.42,34,6287.0
179138,Vistara,UK-876,Hyderabad,Night,one,Morning,Chennai,Economy,14.25,34,6287.0
179139,Vistara,UK-874,Hyderabad,Morning,one,Night,Chennai,Economy,14.58,34,6287.0
179140,Vistara,UK-878,Hyderabad,Afternoon,one,Morning,Chennai,Economy,19.92,34,6287.0
179141,Vistara,UK-876,Hyderabad,Night,one,Evening,Chennai,Economy,22.33,34,6287.0
179142,Vistara,UK-878,Hyderabad,Afternoon,one,Morning,Chennai,Economy,22.92,34,6287.0
179143,Vistara,UK-874,Hyderabad,Morning,one,Morning,Chennai,Economy,24.33,34,6287.0
179144,Vistara,UK-876,Hyderabad,Night,one,Night,Chennai,Economy,25.5,34,6287.0
179145,Vistara,UK-874,Hyderabad,Morning,one,Morning,Chennai,Economy,27.33,34,6287.0
179146,Air_India,AI-541,Hyderabad,Evening,one,Early_Morning,Chennai,Economy,15.08,34,6295.0
179147,Air_India,AI-543,Hyderabad,Morning,one,Early_Morning,Chennai,Economy,20.0,34,6295.0
179148,Air_India,AI-559,Hyderabad,Early_Morning,one,Early_Morning,Chennai,Economy,24.83,34,6295.0
179149,Air_India,AI-541,Hyderabad,Evening,one,Morning,Chennai,Economy,18.67,34,6872.0
179150,Air_India,AI-543,Hyderabad,Morning,one,Night,Chennai,Economy,11.83,34,7251.0
179151,Vistara,UK-830,Hyderabad,Morning,one,Evening,Chennai,Economy,9.58,34,7617.0
179152,Vistara,UK-659,Hyderabad,Morning,two_or_more,Night,Chennai,Economy,9.25,34,7677.0
179153,Vistara,UK-659,Hyderabad,Morning,two_or_more,Night,Chennai,Economy,11.75,34,7677.0
179154,Vistara,UK-880,Hyderabad,Afternoon,one,Night,Chennai,Economy,9.67,34,7702.0
179155,Vistara,UK-898,Hyderabad,Early_Morning,two_or_more,Evening,Chennai,Economy,8.67,34,7832.0
179156,Vistara,UK-878,Hyderabad,Afternoon,one,Night,Chennai,Economy,9.83,34,7900.0
179157,Vistara,UK-874,Hyderabad,Morning,one,Night,Chennai,Economy,11.75,34,7900.0
179158,Indigo,6E-905,Hyderabad,Afternoon,one,Night,Chennai,Economy,8.92,34,7897.0
179159,Indigo,6E-531,Hyderabad,Early_Morning,zero,Early_Morning,Chennai,Economy,1.17,35,1543.0
