Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
128640,Vistara,UK-708,Kolkata,Night,one,Evening,Mumbai,Economy,20.08,10,10604.0
128641,Vistara,UK-738,Kolkata,Evening,one,Afternoon,Mumbai,Economy,20.25,10,10604.0
128642,Vistara,UK-708,Kolkata,Night,one,Evening,Mumbai,Economy,21.25,10,10604.0
128643,Vistara,UK-738,Kolkata,Evening,one,Evening,Mumbai,Economy,21.75,10,10604.0
128644,Vistara,UK-708,Kolkata,Night,one,Evening,Mumbai,Economy,22.67,10,10604.0
128645,Indigo,6E-135,Kolkata,Morning,one,Evening,Mumbai,Economy,5.08,10,10542.0
128646,GO_FIRST,G8-537,Kolkata,Evening,one,Night,Mumbai,Economy,5.0,10,10578.0
128647,Indigo,6E-6488,Kolkata,Morning,one,Evening,Mumbai,Economy,4.67,10,11188.0
128648,Indigo,6E-6021,Kolkata,Afternoon,one,Night,Mumbai,Economy,9.5,10,11188.0
128649,Air_India,AI-747,Kolkata,Night,one,Morning,Mumbai,Economy,9.33,10,11214.0
128650,Air_India,AI-747,Kolkata,Night,one,Night,Mumbai,Economy,21.83,10,11214.0
128651,Air_India,AI-770,Kolkata,Night,two_or_more,Night,Mumbai,Economy,26.92,10,11323.0
128652,Air_India,AI-768,Kolkata,Afternoon,two_or_more,Night,Mumbai,Economy,31.92,10,11323.0
128653,Air_India,AI-763,Kolkata,Early_Morning,two_or_more,Night,Mumbai,Economy,40.42,10,11323.0
128654,Air_India,AI-9720,Kolkata,Early_Morning,two_or_more,Evening,Mumbai,Economy,12.25,10,11785.0
128655,Air_India,AI-9929,Kolkata,Early_Morning,two_or_more,Evening,Mumbai,Economy,12.83,10,11785.0
128656,Air_India,AI-9720,Kolkata,Early_Morning,two_or_more,Night,Mumbai,Economy,13.5,10,11785.0
128657,Air_India,AI-9720,Kolkata,Early_Morning,two_or_more,Night,Mumbai,Economy,13.83,10,11785.0
128658,Air_India,AI-9929,Kolkata,Early_Morning,two_or_more,Night,Mumbai,Economy,14.08,10,11785.0
128659,Air_India,AI-9929,Kolkata,Early_Morning,two_or_more,Night,Mumbai,Economy,14.42,10,11785.0
128660,Air_India,AI-9720,Kolkata,Early_Morning,two_or_more,Night,Mumbai,Economy,14.42,10,11785.0
128661,Air_India,AI-9929,Kolkata,Early_Morning,two_or_more,Night,Mumbai,Economy,15.0,10,11785.0
128662,GO_FIRST,G8-537,Kolkata,Evening,one,Late_Night,Mumbai,Economy,9.58,10,12028.0
128663,Air_India,AI-763,Kolkata,Early_Morning,two_or_more,Afternoon,Mumbai,Economy,5.83,10,12054.0
128664,Air_India,AI-770,Kolkata,Night,two_or_more,Morning,Mumbai,Economy,12.58,10,12054.0
128665,Air_India,AI-770,Kolkata,Night,two_or_more,Morning,Mumbai,Economy,13.67,10,12054.0
128666,Air_India,AI-763,Kolkata,Early_Morning,two_or_more,Night,Mumbai,Economy,14.58,10,12054.0
128667,Air_India,AI-770,Kolkata,Night,two_or_more,Morning,Mumbai,Economy,14.75,10,12054.0
128668,Air_India,AI-770,Kolkata,Night,two_or_more,Afternoon,Mumbai,Economy,16.33,10,12054.0
128669,Air_India,AI-402,Kolkata,Morning,two_or_more,Night,Mumbai,Economy,37.0,10,12247.0
