Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
27810,Indigo,6E-198,Delhi,Early_Morning,one,Morning,Kolkata,Economy,6.08,44,5027.0
27811,Indigo,6E-2331,Delhi,Early_Morning,one,Afternoon,Kolkata,Economy,6.58,44,5027.0
27812,Air_India,AI-409,Delhi,Morning,one,Evening,Kolkata,Economy,7.0,44,5056.0
27813,AirAsia,I5-784,Delhi,Evening,one,Late_Night,Kolkata,Economy,9.5,44,5275.0
27814,AirAsia,I5-784,Delhi,Evening,one,Morning,Kolkata,Economy,16.92,44,5275.0
27815,Air_India,AI-805,Delhi,Evening,one,Morning,Kolkata,Economy,12.83,44,5276.0
27816,Air_India,AI-624,Delhi,Evening,one,Morning,Kolkata,Economy,13.83,44,5276.0
27817,Air_India,AI-868,Delhi,Evening,one,Morning,Kolkata,Economy,14.83,44,5276.0
27818,Air_India,AI-441,Delhi,Evening,one,Morning,Kolkata,Economy,15.0,44,5276.0
27819,Air_India,AI-636,Delhi,Afternoon,one,Morning,Kolkata,Economy,18.33,44,5276.0
27820,Air_India,AI-877,Delhi,Morning,one,Afternoon,Kolkata,Economy,27.83,44,5294.0
27821,GO_FIRST,G8-713,Delhi,Evening,one,Morning,Kolkata,Economy,12.67,44,5418.0
27822,GO_FIRST,G8-717,Delhi,Evening,one,Morning,Kolkata,Economy,15.92,44,5418.0
27823,Air_India,AI-895,Delhi,Morning,one,Evening,Kolkata,Economy,7.5,44,5820.0
27824,Air_India,AI-473,Delhi,Evening,one,Afternoon,Kolkata,Economy,20.17,44,5850.0
27825,Air_India,AI-479,Delhi,Night,one,Evening,Kolkata,Economy,21.33,44,6020.0
27826,SpiceJet,SG-8152,Delhi,Morning,one,Night,Kolkata,Economy,11.25,44,6129.0
27827,Vistara,UK-975,Delhi,Early_Morning,one,Evening,Kolkata,Economy,11.08,44,6598.0
27828,Vistara,UK-981,Delhi,Night,one,Morning,Kolkata,Economy,12.0,44,6598.0
27829,Vistara,UK-953,Delhi,Night,one,Morning,Kolkata,Economy,13.0,44,6598.0
27830,Vistara,UK-975,Delhi,Early_Morning,one,Evening,Kolkata,Economy,14.17,44,6598.0
27831,Vistara,UK-981,Delhi,Night,one,Evening,Kolkata,Economy,19.25,44,6598.0
27832,Vistara,UK-953,Delhi,Night,one,Evening,Kolkata,Economy,20.25,44,6598.0
27833,Indigo,6E-6205,Delhi,Afternoon,one,Evening,Kolkata,Economy,6.33,44,6299.0
27834,GO_FIRST,G8-7535,Delhi,Evening,one,Night,Kolkata,Economy,6.58,44,6395.0
27835,GO_FIRST,G8-338,Delhi,Morning,one,Evening,Kolkata,Economy,7.0,44,6395.0
27836,GO_FIRST,G8-7534,Delhi,Afternoon,one,Night,Kolkata,Economy,8.08,44,6395.0
27837,GO_FIRST,G8-392,Delhi,Afternoon,one,Night,Kolkata,Economy,8.58,44,6395.0
27838,GO_FIRST,G8-354,Delhi,Night,one,Early_Morning,Kolkata,Economy,9.0,44,6395.0
27839,GO_FIRST,G8-336,Delhi,Afternoon,one,Night,Kolkata,Economy,9.25,44,6395.0
