Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
137070,Vistara,UK-706,Kolkata,Morning,one,Night,Bangalore,Economy,10.17,13,11853.0
137071,Vistara,UK-706,Kolkata,Morning,one,Night,Bangalore,Economy,12.42,13,11853.0
137072,Vistara,UK-706,Kolkata,Morning,one,Night,Bangalore,Economy,13.08,13,11853.0
137073,Air_India,AI-9745,Kolkata,Morning,two_or_more,Afternoon,Bangalore,Economy,24.92,13,11679.0
137074,Air_India,AI-9745,Kolkata,Morning,two_or_more,Evening,Bangalore,Economy,28.67,13,11679.0
137075,Air_India,AI-9745,Kolkata,Morning,two_or_more,Night,Bangalore,Economy,32.5,13,11679.0
137076,Vistara,UK-776,Kolkata,Evening,one,Night,Bangalore,Economy,5.25,13,12166.0
137077,Vistara,UK-776,Kolkata,Evening,one,Early_Morning,Bangalore,Economy,14.25,13,12166.0
137078,Vistara,UK-776,Kolkata,Evening,one,Morning,Bangalore,Economy,15.25,13,12166.0
137079,Vistara,UK-776,Kolkata,Evening,one,Morning,Bangalore,Economy,17.17,13,12166.0
137080,Air_India,AI-526,Kolkata,Evening,one,Morning,Bangalore,Economy,15.75,13,12054.0
137081,Air_India,AI-9720,Kolkata,Early_Morning,one,Morning,Bangalore,Economy,25.17,13,12162.0
137082,GO_FIRST,G8-7562,Kolkata,Afternoon,one,Evening,Bangalore,Economy,7.17,13,12546.0
137083,GO_FIRST,G8-7562,Kolkata,Afternoon,one,Night,Bangalore,Economy,10.25,13,12546.0
137084,GO_FIRST,G8-7562,Kolkata,Afternoon,one,Late_Night,Bangalore,Economy,12.08,13,12546.0
137085,GO_FIRST,G8-519,Kolkata,Evening,one,Early_Morning,Bangalore,Economy,14.17,13,12546.0
137086,Vistara,UK-778,Kolkata,Afternoon,one,Night,Bangalore,Economy,7.33,13,13014.0
137087,Vistara,UK-778,Kolkata,Afternoon,one,Morning,Bangalore,Economy,17.33,13,13014.0
137088,Air_India,AI-676,Kolkata,Morning,one,Evening,Bangalore,Economy,8.83,13,12684.0
137089,Air_India,AI-676,Kolkata,Morning,one,Morning,Bangalore,Economy,25.5,13,12684.0
137090,Air_India,AI-9720,Kolkata,Early_Morning,one,Afternoon,Bangalore,Economy,28.75,13,12740.0
137091,Air_India,AI-424,Kolkata,Afternoon,two_or_more,Morning,Bangalore,Economy,19.42,13,12792.0
137092,Air_India,AI-9720,Kolkata,Early_Morning,two_or_more,Late_Night,Bangalore,Economy,16.42,13,12940.0
137093,Air_India,AI-9720,Kolkata,Early_Morning,two_or_more,Morning,Bangalore,Economy,25.17,13,12940.0
137094,Indigo,6E-7177,Kolkata,Morning,one,Night,Bangalore,Economy,10.5,13,13325.0
137095,GO_FIRST,G8-227,Kolkata,Early_Morning,one,Afternoon,Bangalore,Economy,9.17,13,13391.0
137096,Air_India,AI-9720,Kolkata,Early_Morning,two_or_more,Night,Bangalore,Economy,12.33,13,13518.0
137097,Vistara,UK-720,Kolkata,Early_Morning,one,Evening,Bangalore,Economy,12.33,13,14310.0
137098,GO_FIRST,G8-101,Kolkata,Morning,one,Evening,Bangalore,Economy,7.83,13,14101.0
137099,Vistara,UK-706,Kolkata,Morning,one,Evening,Bangalore,Economy,9.25,13,14489.0
