Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
95850,GO_FIRST,G8-395,Bangalore,Morning,zero,Morning,Mumbai,Economy,1.67,13,5177.0
95851,GO_FIRST,G8-7547,Bangalore,Morning,zero,Morning,Mumbai,Economy,1.67,13,5177.0
95852,GO_FIRST,G8-7548,Bangalore,Evening,zero,Night,Mumbai,Economy,1.67,13,5177.0
95853,GO_FIRST,G8-320,Bangalore,Evening,zero,Night,Mumbai,Economy,1.83,13,5177.0
95854,GO_FIRST,G8-399,Bangalore,Night,zero,Night,Mumbai,Economy,1.92,-13,5177.0
95855,Indigo,6E-6464,Bangalore,Early_Morning,zero,Early_Morning,Mumbai,Economy,1.67,13,5178.0
95856,Indigo,6E-5365,Bangalore,Early_Morning,zero,Morning,Mumbai,Economy,1.83,13,5178.0
95857,Indigo,6E-5389,Bangalore,Evening,zero,Evening,Mumbai,Economy,1.83,13,5178.0
95858,Indigo,6E-5344,Bangalore,Night,zero,Late_Night,Mumbai,Economy,1.92,13,5178.0
95859,Indigo,6E-5203,Bangalore,Evening,zero,Night,Mumbai,Economy,2.0,13,5178.0
95860,Indigo,6E-332,Bangalore,Night,zero,Night,Mumbai,Economy,2.0,13,5178.0
95861,AirAsia,I5-1561,Bangalore,Evening,zero,Night,Mumbai,Economy,1.75,13,5179.0
95862,Air_India,AI-640,Bangalore,Early_Morning,zero,Morning,Mumbai,Economy,1.83,13,5179.0
95863,Air_India,AI-610,Bangalore,Evening,zero,Night,Mumbai,Economy,1.92,13,5179.0
95864,AirAsia,I5-1782,Bangalore,Night,one,Late_Night,Mumbai,Economy,5.67,13,5174.0
95865,AirAsia,I5-722,Bangalore,Late_Night,one,Early_Morning,Mumbai,Economy,6.17,13,5174.0
95866,AirAsia,I5-1454,Bangalore,Afternoon,one,Evening,Mumbai,Economy,6.33,13,5174.0
95867,AirAsia,I5-1622,Bangalore,Afternoon,one,Evening,Mumbai,Economy,6.67,13,5174.0
95868,AirAsia,I5-749,Bangalore,Night,one,Early_Morning,Mumbai,Economy,8.17,13,5174.0
95869,AirAsia,I5-1782,Bangalore,Night,one,Early_Morning,Mumbai,Economy,10.92,13,5174.0
95870,AirAsia,I5-996,Bangalore,Evening,one,Early_Morning,Mumbai,Economy,11.17,13,5174.0
95871,AirAsia,I5-1451,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,13.92,13,5174.0
95872,GO_FIRST,G8-285,Bangalore,Afternoon,one,Evening,Mumbai,Economy,3.92,13,5177.0
95873,GO_FIRST,G8-790,Bangalore,Afternoon,one,Night,Mumbai,Economy,6.33,13,5177.0
95874,GO_FIRST,G8-118,Bangalore,Night,one,Early_Morning,Mumbai,Economy,6.33,13,5177.0
95875,GO_FIRST,G8-283,Bangalore,Early_Morning,two_or_more,Afternoon,Mumbai,Economy,6.75,13,5177.0
95876,GO_FIRST,G8-116,Bangalore,Early_Morning,one,Afternoon,Mumbai,Economy,8.25,13,5177.0
95877,GO_FIRST,G8-116,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,9.25,13,5177.0
95878,GO_FIRST,G8-808,Bangalore,Morning,one,Night,Mumbai,Economy,9.33,13,5177.0
95879,GO_FIRST,G8-285,Bangalore,Afternoon,one,Late_Night,Mumbai,Economy,9.58,13,5177.0
