Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
150720,Indigo,6E-6021,Kolkata,Afternoon,one,Night,Chennai,Economy,6.17,30,5704.0
150721,Indigo,6E-6021,Kolkata,Afternoon,one,Night,Chennai,Economy,8.17,30,5704.0
150722,Air_India,AI-773,Kolkata,Evening,one,Early_Morning,Chennai,Economy,14.08,30,5765.0
150723,Air_India,AI-773,Kolkata,Evening,one,Morning,Chennai,Economy,17.67,30,5765.0
150724,Air_India,AI-676,Kolkata,Morning,one,Early_Morning,Chennai,Economy,21.67,30,5765.0
150725,Air_India,AI-676,Kolkata,Morning,one,Morning,Chennai,Economy,25.25,30,5765.0
150726,Vistara,UK-778,Kolkata,Afternoon,one,Night,Chennai,Economy,7.42,30,6120.0
150727,Vistara,UK-720,Kolkata,Early_Morning,one,Night,Chennai,Economy,15.58,30,6120.0
150728,Vistara,UK-720,Kolkata,Early_Morning,one,Evening,Chennai,Economy,9.17,30,6219.0
150729,Vistara,UK-720,Kolkata,Early_Morning,one,Night,Chennai,Economy,13.08,30,6219.0
150730,Vistara,UK-778,Kolkata,Afternoon,one,Evening,Chennai,Economy,25.0,30,6219.0
150731,Indigo,6E-345,Kolkata,Morning,one,Afternoon,Chennai,Economy,6.67,30,5871.0
150732,Indigo,6E-345,Kolkata,Morning,one,Evening,Chennai,Economy,10.0,30,5871.0
150733,Air_India,AI-768,Kolkata,Afternoon,one,Night,Chennai,Economy,8.08,30,5915.0
150734,Air_India,AI-763,Kolkata,Early_Morning,one,Night,Chennai,Economy,16.58,30,5915.0
150735,Air_India,AI-768,Kolkata,Afternoon,one,Morning,Chennai,Economy,17.42,30,5915.0
150736,Air_India,AI-768,Kolkata,Afternoon,one,Afternoon,Chennai,Economy,21.17,30,5915.0
150737,Air_India,AI-763,Kolkata,Early_Morning,one,Morning,Chennai,Economy,25.92,30,5915.0
150738,Air_India,AI-763,Kolkata,Early_Morning,one,Evening,Chennai,Economy,12.0,30,6230.0
150739,Indigo,6E-893,Kolkata,Morning,one,Afternoon,Chennai,Economy,6.0,30,6344.0
150740,Indigo,6E-893,Kolkata,Morning,one,Evening,Chennai,Economy,8.58,30,6344.0
150741,Indigo,6E-893,Kolkata,Morning,one,Evening,Chennai,Economy,9.75,30,6344.0
150742,Indigo,6E-893,Kolkata,Morning,one,Night,Chennai,Economy,11.0,30,6344.0
150743,Indigo,6E-7561,Kolkata,Early_Morning,one,Evening,Chennai,Economy,9.67,30,6512.0
150744,Indigo,6E-135,Kolkata,Morning,two_or_more,Evening,Chennai,Economy,6.25,30,6542.0
150745,Indigo,6E-135,Kolkata,Morning,two_or_more,Evening,Chennai,Economy,7.42,30,6542.0
150746,Indigo,6E-135,Kolkata,Morning,two_or_more,Night,Chennai,Economy,8.67,30,6542.0
150747,Indigo,6E-7561,Kolkata,Early_Morning,one,Evening,Chennai,Economy,10.17,30,6542.0
150748,Indigo,6E-135,Kolkata,Morning,two_or_more,Night,Chennai,Economy,10.67,30,6542.0
150749,Air_India,AI-402,Kolkata,Morning,one,Night,Chennai,Economy,13.17,30,6584.0
