Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
50160,GO_FIRST,G8-364,Mumbai,Evening,one,Night,Delhi,Economy,4.25,37,3324.0
50161,GO_FIRST,G8-365,Mumbai,Early_Morning,one,Morning,Delhi,Economy,4.5,37,3324.0
50162,GO_FIRST,G8-244,Mumbai,Evening,one,Night,Delhi,Economy,5.33,37,3324.0
50163,GO_FIRST,G8-363,Mumbai,Night,one,Morning,Delhi,Economy,11.17,37,3324.0
50164,SpiceJet,SG-276,Mumbai,Early_Morning,one,Morning,Delhi,Economy,4.75,37,3342.0
50165,SpiceJet,SG-4417,Mumbai,Evening,one,Morning,Delhi,Economy,14.83,37,3342.0
50166,Air_India,AI-611,Mumbai,Morning,one,Night,Delhi,Economy,10.42,37,3489.0
50167,Indigo,6E-5376,Mumbai,Late_Night,one,Early_Morning,Delhi,Economy,7.17,37,3528.0
50168,Indigo,6E-5376,Mumbai,Late_Night,one,Morning,Delhi,Economy,10.33,37,3528.0
50169,Indigo,6E-5382,Mumbai,Evening,one,Night,Delhi,Economy,5.83,37,3536.0
50170,Indigo,6E-5386,Mumbai,Evening,one,Late_Night,Delhi,Economy,5.08,37,3729.0
50171,Indigo,6E-6222,Mumbai,Morning,one,Afternoon,Delhi,Economy,4.25,37,3755.0
50172,Indigo,6E-6222,Mumbai,Morning,one,Evening,Delhi,Economy,8.17,37,3755.0
50173,Air_India,AI-611,Mumbai,Morning,one,Morning,Delhi,Economy,21.33,37,3762.0
50174,Indigo,6E-176,Mumbai,Afternoon,one,Night,Delhi,Economy,6.25,37,4123.0
50175,Vistara,UK-613,Mumbai,Afternoon,one,Evening,Delhi,Economy,4.5,37,4158.0
50176,Air_India,AI-615,Mumbai,Early_Morning,one,Evening,Delhi,Economy,12.75,37,3819.0
50177,Air_India,AI-619,Mumbai,Night,one,Morning,Delhi,Economy,12.75,37,3819.0
50178,Air_India,AI-615,Mumbai,Early_Morning,one,Night,Delhi,Economy,17.25,37,3819.0
50179,Air_India,AI-615,Mumbai,Early_Morning,one,Morning,Delhi,Economy,27.25,37,3819.0
50180,Indigo,6E-296,Mumbai,Night,one,Late_Night,Delhi,Economy,4.08,37,3935.0
50181,Indigo,6E-5392,Mumbai,Evening,one,Late_Night,Delhi,Economy,6.83,37,3935.0
50182,Indigo,6E-6182,Mumbai,Early_Morning,one,Evening,Delhi,Economy,9.42,37,3947.0
50183,SpiceJet,SG-343,Mumbai,Morning,one,Afternoon,Delhi,Economy,5.75,37,3965.0
50184,Indigo,6E-5372,Mumbai,Early_Morning,one,Morning,Delhi,Economy,4.33,37,4043.0
50185,Indigo,6E-939,Mumbai,Morning,one,Evening,Delhi,Economy,7.83,37,4043.0
50186,Air_India,AI-631,Mumbai,Evening,one,Afternoon,Delhi,Economy,20.58,37,4149.0
50187,Indigo,6E-5392,Mumbai,Evening,one,Night,Delhi,Economy,4.5,37,4151.0
50188,Air_India,AI-570,Mumbai,Early_Morning,one,Afternoon,Delhi,Economy,7.67,37,4158.0
50189,Air_India,AI-629,Mumbai,Evening,one,Morning,Delhi,Economy,15.25,37,4221.0
