Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
80580,Indigo,6E-5359,Mumbai,Early_Morning,one,Afternoon,Chennai,Economy,8.25,25,4069.0
80581,Vistara,UK-910,Mumbai,Evening,one,Morning,Chennai,Economy,16.33,25,4683.0
80582,Air_India,AI-687,Mumbai,Afternoon,one,Night,Chennai,Economy,7.58,25,4417.0
80583,Air_India,AI-442,Mumbai,Afternoon,one,Night,Chennai,Economy,8.0,25,4417.0
80584,Air_India,AI-809,Mumbai,Morning,one,Evening,Chennai,Economy,9.0,25,4417.0
80585,Air_India,AI-806,Mumbai,Early_Morning,one,Evening,Chennai,Economy,11.0,25,4417.0
80586,Air_India,AI-635,Mumbai,Early_Morning,one,Evening,Chennai,Economy,11.92,25,4417.0
80587,Air_India,AI-864,Mumbai,Early_Morning,one,Evening,Chennai,Economy,12.0,25,4417.0
80588,Air_India,AI-809,Mumbai,Morning,one,Night,Chennai,Economy,13.58,25,4417.0
80589,Air_India,AI-806,Mumbai,Early_Morning,one,Night,Chennai,Economy,15.58,25,4417.0
80590,Air_India,AI-635,Mumbai,Early_Morning,one,Night,Chennai,Economy,16.5,25,4417.0
80591,Air_India,AI-864,Mumbai,Early_Morning,one,Night,Chennai,Economy,16.58,25,4417.0
80592,Air_India,AI-867,Mumbai,Night,one,Evening,Chennai,Economy,21.5,25,4417.0
80593,Air_India,AI-888,Mumbai,Evening,one,Evening,Chennai,Economy,24.0,25,4417.0
80594,Air_India,AI-660,Mumbai,Evening,one,Evening,Chennai,Economy,25.0,25,4417.0
80595,Indigo,6E-219,Mumbai,Afternoon,one,Evening,Chennai,Economy,4.92,25,4431.0
80596,Vistara,UK-910,Mumbai,Evening,one,Evening,Chennai,Economy,22.75,25,5033.0
80597,Vistara,UK-910,Mumbai,Evening,one,Night,Chennai,Economy,26.67,25,5033.0
80598,Air_India,AI-867,Mumbai,Night,one,Afternoon,Chennai,Economy,15.17,25,4732.0
80599,Air_India,AI-888,Mumbai,Evening,one,Afternoon,Chennai,Economy,17.67,25,4732.0
80600,Air_India,AI-660,Mumbai,Evening,one,Afternoon,Chennai,Economy,18.67,25,4732.0
80601,Air_India,AI-687,Mumbai,Afternoon,one,Afternoon,Chennai,Economy,20.67,25,4732.0
80602,Air_India,AI-442,Mumbai,Afternoon,one,Afternoon,Chennai,Economy,21.08,25,4732.0
80603,Air_India,AI-679,Mumbai,Morning,one,Evening,Chennai,Economy,5.83,25,4757.0
80604,Indigo,6E-6051,Mumbai,Evening,one,Night,Chennai,Economy,5.08,25,4809.0
80605,Indigo,6E-5398,Mumbai,Morning,one,Afternoon,Chennai,Economy,6.0,25,4985.0
80606,Air_India,AI-867,Mumbai,Night,one,Morning,Chennai,Economy,11.42,25,5152.0
80607,Air_India,AI-888,Mumbai,Evening,one,Morning,Chennai,Economy,13.92,25,5152.0
80608,Air_India,AI-660,Mumbai,Evening,one,Morning,Chennai,Economy,14.92,25,5152.0
80609,Air_India,AI-687,Mumbai,Afternoon,one,Morning,Chennai,Economy,16.92,25,5152.0
