Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,travel_class,duration,days_left,price
182040,Vistara,UK-828,Chennai,Early_Morning,one,Afternoon,Delhi,Economy,5.67,14,11868.0
182041,Air_India,AI-569,Chennai,Early_Morning,two_or_more,Afternoon,Delhi,Economy,33.58,14,12187.0
182042,Air_India,AI-569,Chennai,Early_Morning,two_or_more,Afternoon,Delhi,Economy,5.92,14,12288.0
182043,Air_India,AI-569,Chennai,Early_Morning,two_or_more,Evening,Delhi,Economy,11.92,14,12288.0
182044,Air_India,AI-569,Chennai,Early_Morning,two_or_more,Evening,Delhi,Economy,13.0,14,12288.0
182045,Air_India,AI-569,Chennai,Early_Morning,two_or_more,Night,Delhi,Economy,14.08,14,12288.0
182046,Air_India,AI-569,Chennai,Early_Morning,two_or_more,Night,Delhi,Economy,14.92,14,12288.0
182047,Air_India,AI-569,Chennai,Early_Morning,two_or_more,Night,Delhi,Economy,17.42,14,12288.0
182048,Vistara,UK-826,Chennai,Afternoon,one,Evening,Delhi,Economy,28.0,14,12864.0
182049,Vistara,UK-822,Chennai,Morning,one,Evening,Delhi,Economy,30.75,14,12864.0
182050,Vistara,UK-828,Chennai,Early_Morning,one,Evening,Delhi,Economy,33.5,14,12864.0
182051,Air_India,AI-672,Chennai,Afternoon,two_or_more,Afternoon,Delhi,Economy,25.0,14,12649.0
182052,Air_India,AI-672,Chennai,Afternoon,two_or_more,Night,Delhi,Economy,5.5,14,12708.0
182053,Air_India,AI-672,Chennai,Afternoon,two_or_more,Night,Delhi,Economy,6.33,14,12708.0
182054,Air_India,AI-672,Chennai,Afternoon,two_or_more,Night,Delhi,Economy,8.83,14,12708.0
182055,Vistara,UK-828,Chennai,Early_Morning,one,Evening,Delhi,Economy,9.75,14,13258.0
182056,Air_India,AI-569,Chennai,Early_Morning,two_or_more,Night,Delhi,Economy,17.58,14,13089.0
182057,Air_India,AI-672,Chennai,Afternoon,two_or_more,Night,Delhi,Economy,33.0,14,13551.0
182058,Vistara,UK-828,Chennai,Early_Morning,one,Afternoon,Delhi,Economy,8.67,14,13956.0
182059,SpiceJet,SG-520,Chennai,Afternoon,one,Late_Night,Delhi,Economy,9.83,14,13652.0
182060,SpiceJet,SG-520,Chennai,Afternoon,one,Evening,Delhi,Economy,26.58,14,13968.0
182061,Vistara,UK-824,Chennai,Night,one,Evening,Delhi,Economy,20.0,14,14649.0
182062,Vistara,UK-824,Chennai,Night,one,Evening,Delhi,Economy,23.33,14,14649.0
182063,Vistara,UK-826,Chennai,Afternoon,one,Evening,Delhi,Economy,28.0,14,14649.0
182064,Air_India,AI-569,Chennai,Early_Morning,two_or_more,Evening,Delhi,Economy,33.92,14,14349.0
182065,SpiceJet,SG-520,Chennai,Afternoon,one,Night,Delhi,Economy,7.0,14,15648.0
182066,Vistara,UK-826,Chennai,Afternoon,one,Night,Delhi,Economy,9.08,14,16140.0
182067,Vistara,UK-826,Chennai,Afternoon,one,Night,Delhi,Economy,9.92,14,16140.0
182068,Vistara,UK-826,Chennai,Afternoon,one,Night,Delhi,Economy,11.25,14,16140.0
182069,Vistara,UK-822,Chennai,Morning,one,Night,Delhi,Economy,11.83,14,16140.0
